,overnight_1,overnight_2,overnight_3,overnight_4,overnight_5,overnight_6,daytime_1,daytime_2,daytime_3,daytime_4,daytime_5,daytime_6,day_1,day_2,day_3,day_4,day_5,day_6
Manual,0.04884259259259259,0.010416666666666666,0.19444444444444445,0.1446759259259259,0.006712962962962963,0.0,0.2668981481481481,0.09212962962962964,0.368287037037037,0.2842592592592592,0.038425925925925926,0.016666666666666666,0.31574074074074066,0.10254629629629632,0.5891203703703703,0.45462962962962966,0.04722222222222223,0.016666666666666666
Auto,0.02787698412698414,0.003928571428571428,0.210138888888889,0.18339285714285714,0.00658730158730159,0.0018452380952380953,0.21383759469696956,0.04799952651515152,0.49295691287878757,0.36661537247474746,0.03602430555555553,0.01051530934343434,0.2417337436868687,0.05190577651515154,0.7027896148989896,0.5494791666666669,0.04298847853535353,0.01262626262626263
